"Age","qx","lx","dx"
0,0.00917063629263259,1e+05,917
1,0.000568093244536994,99083,56
2,0.000364660267914485,99027,36
3,0.000295369319947336,98991,29
4,0.000225266980214633,98962,22
5,0.000210984939461145,98940,21
6,0.000188422343906258,98919,19
7,0.000173297152326279,98900,17
8,0.000163696974808669,98883,16
9,0.000159837442053723,98867,16
10,0.000162873297530175,98851,16
11,0.000179418600975145,98835,18
12,0.000213286395388201,98817,21
13,0.000267305009079566,98796,26
14,0.000337685035501356,98770,33
15,0.00042324793178361,98737,42
16,0.000508948660503772,98695,50
17,0.0005968523348584,98645,59
18,0.000683765623287536,98586,67
19,0.000770360306801554,98519,76
20,0.000860961279030015,98443,85
21,0.000956476390464589,98358,94
22,0.00104946872982103,98264,103
23,0.00113659628850848,98161,112
24,0.00121891327231582,98049,120
25,0.00127743533381119,97929,125
26,0.00135821586270279,97804,133
27,0.00144585865490532,97671,141
28,0.00154491635625698,97530,151
29,0.00165465862046721,97379,161
30,0.00170855592220243,97218,166
31,0.00182349154220285,97052,177
32,0.00193966999851169,96875,188
33,0.00205470295932741,96687,199
34,0.00217039253136098,96488,209
35,0.00216804718622421,96279,209
36,0.00229663770617772,96070,221
37,0.00242498657967738,95849,232
38,0.00255194852788254,95617,244
39,0.00268456962904184,95373,256
40,0.00261190873385653,95117,248
41,0.00277319976205637,94869,263
42,0.00295464945548329,94606,280
43,0.00315635327668662,94326,298
44,0.0033794187533035,94028,318
45,0.0034304303818985,93710,321
46,0.00369757905467338,93389,345
47,0.00398559957594224,93044,371
48,0.00429449435793117,92673,398
49,0.00463176633509921,92275,427
50,0.00479807695065193,91848,441
51,0.0051880313853393,91407,474
52,0.00564101682520513,90933,513
53,0.00615965040719413,90420,557
54,0.0067242440060965,89863,604
55,0.00715237132528435,89259,638
56,0.00772433080767199,88621,685
57,0.00835280411201078,87936,735
58,0.0090600631541311,87201,790
59,0.00983866214605467,86411,850
60,0.0105388766039639,85561,902
61,0.0114006826510088,84659,965
62,0.0122481893356369,83694,1025
63,0.0130655179595131,82669,1080
64,0.0138969939084614,81589,1134
65,0.0147481629009496,80455,1187
66,0.0158090410526333,79268,1253
67,0.0170471812639084,78015,1330
68,0.0185357811112046,76685,1421
69,0.0202029219941031,75264,1521
70,0.0219377961175127,73743,1618
71,0.0240013214419501,72125,1731
72,0.0263161524301582,70394,1852
73,0.0285117988066043,68542,1954
74,0.0321441993383171,66588,2140
75,0.0343383324788391,64448,2213
76,0.0382387122266152,62235,2380
77,0.0421510811213339,59855,2523
78,0.0472585837569933,57332,2709
79,0.0524505436954669,54623,2865
80,0.0558493863640748,51758,2891
81,0.0620256017900225,48867,3031
82,0.0691924973872192,45836,3172
83,0.0775731410711001,42664,3310
84,0.087260870263474,39354,3434
85,0.0926091833138155,35920,3327
86,0.102114296143818,32593,3328
87,0.115185207637354,29265,3371
88,0.129529657747969,25894,3354
89,0.145169501476098,22540,3272
90,0.151639144373968,19268,2922
91,0.168711867490803,16346,2758
92,0.186914019272806,13588,2540
93,0.206149611967418,11048,2278
94,0.226287762939051,8770,1985
95,0.410850500222334,6785,2788
96,0.444023673548821,3997,1775
97,0.477228601917187,2222,1060
98,0.510075806074741,1162,593
99,0.542187730556667,569,309
100,1,260,260
